claim_id,customer,customer_plant,claim_country,claim_language,claim_description,production_plant,production_country,part_category,part_name_ko,part_name_en,part_number,production_date,delivery_date,occurrence_date,claim_received_date,claim_confirmed_date,claim_status,defect_type_ko,defect_type_en,severity,claim_quantity,unit_price_usd,claim_amount_usd
CLM-000011,BMW,BMW Spartanburg Plant,US,en,Material Defect detected on Outside Mirror (SL-MIR-18392). Identified at BMW Spartanburg Plant.,SL Tennessee,US,Mirror Systems,아웃사이드미러,Outside Mirror,SL-MIR-18392,2024-10-23,2024-11-12,2024-11-23,2024-11-27,2024-11-30,확정,소재불량,Material Defect,Major,500,22.94,9520.1
CLM-000012,Hyundai,HMMA (Hyundai Motor Manufacturing Alabama),US,en,Surface & Plating Defect detected on Bonnet Latch (SL-FEM-80678). Identified at HMMA (Hyundai Motor Manufacturing Alabama).,SL Alabama,US,Front End Module,본넷래치,Bonnet Latch,SL-FEM-80678,2022-09-04,2022-09-22,2023-09-28,2023-10-02,2023-10-31,보상완료,표면·도금불량,Surface & Plating Defect,Minor,2,10.62,21.66
CLM-000013,GM,GM Fort Wayne Assembly,US,en,Design Flaw detected on Head Lamp (SL-LMP-62772). Identified at GM Fort Wayne Assembly.,SL 대구공장,KR,Lamp Systems,전조등,Head Lamp,SL-LMP-62772,2024-09-20,2024-09-30,2024-11-25,2024-11-29,2024-12-30,확정,설계결함,Design Flaw,Minor,20,36.93,760.76
CLM-000014,Honda,Honda Marysville Auto Plant,US,en,Assembly Defect detected on Actuator Motor (SL-ELE-22224). Identified at Honda Marysville Auto Plant.,SL Tennessee,US,Electrification,액추에이터모터,Actuator Motor,SL-ELE-22224,2024-01-18,2024-02-03,2024-04-29,2024-05-07,2024-06-04,확정,조립불량,Assembly Defect,Minor,3,27.05,104.68
CLM-000015,Kia,Kia Georgia Plant,US,en,Assembly Defect detected on Inside Mirror (SL-MIR-38534). Identified at Kia Georgia Plant.,SL Tennessee,US,Mirror Systems,룸미러,Inside Mirror,SL-MIR-38534,2022-06-17,2022-07-07,2023-04-30,2023-05-01,2023-05-07,기각,조립불량,Assembly Defect,Major,200,43.84,11047.68
CLM-000016,GM,GM Korea 부평공장,KR,ko,아웃사이드미러(SL-MIR-87992) 부품에서 기타 발생. GM Korea 부평공장에서 확인됨.,SL 안산공장,KR,Mirror Systems,아웃사이드미러,Outside Mirror,SL-MIR-87992,2022-05-29,2022-06-08,2023-05-20,2023-05-27,,조사중,기타,Other,Minor,5,48.95,200.69
CLM-000017,Hyundai,Beijing Hyundai Motor (BHMC),CN,zh,在Side Repeater Mirror（SL-MIR-51180）上发现Functional Failure。由Beijing Hyundai Motor (BHMC)确认。,동풍삼립(우한),CN,Mirror Systems,사이드리피터미러,Side Repeater Mirror,SL-MIR-51180,2023-12-04,2023-12-19,2024-05-03,2024-05-06,2024-05-28,기각,기능불량,Functional Failure,Minor,12,66.45,1012.7
CLM-000018,Hyundai,Beijing Hyundai Motor (BHMC),CN,zh,在Rear Combination Lamp（SL-LMP-37938）上发现Material Defect。由Beijing Hyundai Motor (BHMC)确认。,SL 천안공장,KR,Lamp Systems,리어콤비램프,Rear Combination Lamp,SL-LMP-37938,2025-06-12,2025-06-19,2025-11-02,2025-11-17,,조사중,소재불량,Material Defect,Minor,5,49.02,215.69
CLM-000019,Stellantis,Stellantis Toluca Assembly,MX,es,Se detectó Surface & Plating Defect en Tail Lamp (SL-LMP-44664). Identificado en Stellantis Toluca Assembly.,SL Mexico (SLP),MX,Lamp Systems,후미등,Tail Lamp,SL-LMP-44664,2023-06-11,2023-07-01,2023-08-25,2023-08-28,2023-10-08,확정,표면·도금불량,Surface & Plating Defect,Minor,12,38.23,513.81
CLM-000020,Kia,Kia Georgia Plant,US,en,Functional Failure detected on Horn (SL-FEM-15778). Identified at Kia Georgia Plant.,SL Tennessee,US,Front End Module,혼,Horn,SL-FEM-15778,2022-07-14,2022-07-21,2023-01-08,2023-01-19,2023-02-01,보상완료,기능불량,Functional Failure,Minor,100,27.05,2921.4
CLM-000021,Hyundai,현대자동차 아산공장,KR,ko,와이어링하네스(SL-ELE-66333) 부품에서 이물혼입 발생. Hyundai 현대자동차 아산공장에서 확인됨.,SL 성서공장,KR,Electrification,와이어링하네스,Wiring Harness,SL-ELE-66333,2023-08-16,2023-08-28,2023-09-19,2023-09-25,2023-09-30,보상완료,이물혼입,Foreign Material Contamination,Minor,5,40.69,229.9
CLM-000022,Kia,Kia India (Anantapur),IN,en,Dimensional Out-of-Spec detected on Wiring Harness (SL-ELE-41029). Identified at Kia India (Anantapur).,SL Brazil,BR,Electrification,와이어링하네스,Wiring Harness,SL-ELE-41029,2023-08-14,2023-08-30,2023-11-29,2023-11-30,2023-12-24,확정,치수불량,Dimensional Out-of-Spec,Critical,500,48.88,29572.4
CLM-000023,Kia,기아 화성공장,KR,ko,아웃사이드미러(SL-MIR-70332) 부품에서 표면·도금불량 발생. Kia 기아 화성공장에서 확인됨.,SL 천안공장,KR,Mirror Systems,아웃사이드미러,Outside Mirror,SL-MIR-70332,2024-07-03,2024-07-13,2024-12-17,2024-12-21,,접수,표면·도금불량,Surface & Plating Defect,Minor,20,36.41,895.69
CLM-000024,KGM,KGM 평택공장,KR,ko,센서모듈(SL-ELE-13617) 부품에서 조립불량 발생. KGM 평택공장에서 확인됨.,SL 미러텍(시흥),KR,Electrification,센서모듈,Sensor Module,SL-ELE-13617,2023-04-05,2023-04-13,2023-08-25,2023-09-04,2023-09-23,보상완료,조립불량,Assembly Defect,Minor,2,36.85,71.49
CLM-000025,Stellantis,Stellantis Sterling Heights Assembly,US,en,Surface & Plating Defect detected on Wiring Harness (SL-ELE-43386). Identified at Stellantis Sterling Heights Assembly.,SL Alabama,US,Electrification,와이어링하네스,Wiring Harness,SL-ELE-43386,2022-03-18,2022-04-03,2023-04-01,2023-04-02,2023-05-09,확정,표면·도금불량,Surface & Plating Defect,Minor,12,29.41,448.21
CLM-000026,Subaru,Subaru Gunma Oizumi Plant,JP,ja,Sensor Module（SL-ELE-97410）にSurface & Plating Defectを検出。Subaru Gunma Oizumi Plantにて確認。,동풍삼립(우한),CN,Electrification,센서모듈,Sensor Module,SL-ELE-97410,2024-10-15,2024-10-30,2025-04-16,2025-04-28,2025-05-09,확정,표면·도금불량,Surface & Plating Defect,Minor,20,39.92,790.42
CLM-000027,Ford,Ford Michigan Assembly,US,en,Foreign Material Contamination detected on Actuator Motor (SL-ELE-49829). Identified at Ford Michigan Assembly.,SL Alabama,US,Electrification,액추에이터모터,Actuator Motor,SL-ELE-49829,2024-04-08,2024-04-24,2024-08-10,2024-08-23,2024-10-06,확정,이물혼입,Foreign Material Contamination,Minor,50,29.88,1703.16
CLM-000028,GM,GM Brazil Gravataí,BR,pt,Assembly Defect detectado em Sensor Module (SL-ELE-22240). Identificado na GM Brazil Gravataí.,SL Brazil,BR,Electrification,센서모듈,Sensor Module,SL-ELE-22240,2023-05-05,2023-05-17,2024-04-26,2024-04-30,2024-05-12,보상완료,조립불량,Assembly Defect,Minor,1,21.02,21.86
CLM-000029,Stellantis,Stellantis Toledo Assembly,US,en,Dimensional Out-of-Spec detected on Radiator Support (SL-FEM-41979). Identified at Stellantis Toledo Assembly.,SL Alabama,US,Front End Module,라디에이터서포트,Radiator Support,SL-FEM-41979,2022-11-25,2022-11-28,2023-10-30,2023-11-14,2023-11-23,보상완료,치수불량,Dimensional Out-of-Spec,Minor,5,12.75,81.6
CLM-000030,GM,GM Korea 부평공장,KR,ko,룸미러(SL-MIR-97500) 부품에서 기타 발생. GM Korea 부평공장에서 확인됨.,SL 천안공장,KR,Mirror Systems,룸미러,Inside Mirror,SL-MIR-97500,2025-02-26,2025-03-11,2025-12-23,2025-12-31,,조사중,기타,Other,Major,100,41.34,5167.5
CLM-000031,GM,GM Korea 창원공장,KR,ko,혼(SL-FEM-42406) 부품에서 기능불량 발생. GM Korea 창원공장에서 확인됨.,SL Poland,PL,Front End Module,혼,Horn,SL-FEM-42406,2023-06-05,2023-06-24,2024-07-21,2024-07-29,2024-08-18,기각,기능불량,Functional Failure,Minor,2,27.27,50.18
CLM-000032,Kia,Kia India (Anantapur),IN,en,Assembly Defect detected on Bonnet Latch (SL-FEM-38043). Identified at Kia India (Anantapur).,SL Lumax (India),IN,Front End Module,본넷래치,Bonnet Latch,SL-FEM-38043,2022-09-25,2022-10-11,2023-05-12,2023-05-18,2023-06-16,확정,조립불량,Assembly Defect,Minor,5,30.49,150.93
CLM-000033,Ford,Ford Kentucky Truck Plant,US,en,Wiring & Electrical Defect detected on Bumper Beam (SL-FEM-56105). Identified at Ford Kentucky Truck Plant.,호북삼립,CN,Front End Module,범퍼빔,Bumper Beam,SL-FEM-56105,2023-07-30,2023-08-14,2024-09-03,2024-09-17,2024-10-16,보상완료,배선·전장불량,Wiring & Electrical Defect,Major,100,29.6,3700.0
CLM-000034,GM,GM Spring Hill Assembly,US,en,Other detected on Stabilizer Link (SL-CHS-99016). Identified at GM Spring Hill Assembly.,SL Alabama,US,Chassis Systems,스태빌라이저링크,Stabilizer Link,SL-CHS-99016,2024-03-25,2024-04-02,2025-04-08,2025-04-22,2025-05-03,확정,기타,Other,Minor,100,12.89,1289.0
CLM-000035,GM,GM Korea 부평공장,KR,ko,본넷래치(SL-FEM-16590) 부품에서 치수불량 발생. GM Korea 부평공장에서 확인됨.,SL 대구공장,KR,Front End Module,본넷래치,Bonnet Latch,SL-FEM-16590,2023-11-21,2023-12-04,2024-06-16,2024-06-20,2024-07-14,확정,치수불량,Dimensional Out-of-Spec,Minor,8,28.3,276.21
CLM-000036,Kia,기아 화성공장,KR,ko,사이드리피터미러(SL-MIR-18993) 부품에서 기타 발생. Kia 기아 화성공장에서 확인됨.,SL 안산공장,KR,Mirror Systems,사이드리피터미러,Side Repeater Mirror,SL-MIR-18993,2022-02-27,2022-03-02,2023-03-24,2023-03-28,2023-04-01,확정,기타,Other,Minor,3,31.93,99.62
CLM-000037,Hyundai,현대자동차 아산공장,KR,ko,사이드리피터미러(SL-MIR-89593) 부품에서 조립불량 발생. Hyundai 현대자동차 아산공장에서 확인됨.,SL 안산공장,KR,Mirror Systems,사이드리피터미러,Side Repeater Mirror,SL-MIR-89593,2022-07-12,2022-07-20,2023-08-23,2023-08-28,,조사중,조립불량,Assembly Defect,Minor,8,48.79,487.9
CLM-000038,Kia,기아 광명공장,KR,ko,스태빌라이저링크(SL-CHS-88697) 부품에서 이물혼입 발생. Kia 기아 광명공장에서 확인됨.,SL 진량공장,KR,Chassis Systems,스태빌라이저링크,Stabilizer Link,SL-CHS-88697,2022-11-15,2022-11-19,2023-09-05,2023-09-11,2023-10-26,확정,이물혼입,Foreign Material Contamination,Minor,2,28.7,55.68
CLM-000039,Stellantis,Stellantis Sterling Heights Assembly,US,en,Functional Failure detected on Inside Mirror (SL-MIR-33086). Identified at Stellantis Sterling Heights Assembly.,SL Alabama,US,Mirror Systems,룸미러,Inside Mirror,SL-MIR-33086,2024-12-24,2025-01-04,2025-12-04,2025-12-14,2025-12-31,확정,기능불량,Functional Failure,Minor,50,41.78,2444.13
CLM-000040,Kia,기아 광명공장,KR,ko,너클(SL-CHS-41963) 부품에서 이물혼입 발생. Kia 기아 광명공장에서 확인됨.,SL 안산공장,KR,Chassis Systems,너클,Steering Knuckle,SL-CHS-41963,2024-10-06,2024-10-21,2025-08-09,2025-08-15,,접수,이물혼입,Foreign Material Contamination,Minor,3,28.09,82.58
CLM-000041,Kia,기아 광주공장,KR,ko,액추에이터모터(SL-ELE-77715) 부품에서 표면·도금불량 발생. Kia 기아 광주공장에서 확인됨.,북경삼립,CN,Electrification,액추에이터모터,Actuator Motor,SL-ELE-77715,2023-12-04,2023-12-14,2024-01-27,2024-02-08,2024-03-17,확정,표면·도금불량,Surface & Plating Defect,Minor,50,39.07,2051.18
CLM-000042,Stellantis,Stellantis Toledo Assembly,US,en,Foreign Material Contamination detected on Stabilizer Link (SL-CHS-86225). Identified at Stellantis Toledo Assembly.,SL Tennessee,US,Chassis Systems,스태빌라이저링크,Stabilizer Link,SL-CHS-86225,2024-05-07,2024-05-27,2025-01-25,2025-02-03,2025-03-13,확정,이물혼입,Foreign Material Contamination,Minor,12,35.19,396.94
CLM-000043,Kia,기아 화성공장,KR,ko,리어콤비램프(SL-LMP-34267) 부품에서 기타 발생. Kia 기아 화성공장에서 확인됨.,동풍삼립(우한),CN,Lamp Systems,리어콤비램프,Rear Combination Lamp,SL-LMP-34267,2023-09-21,2023-10-09,2024-01-28,2024-02-02,2024-03-09,기각,기타,Other,Minor,8,88.73,866.0
CLM-000044,Kia,기아 광주공장,KR,ko,와이어링하네스(SL-ELE-45954) 부품에서 기능불량 발생. Kia 기아 광주공장에서 확인됨.,SL 미러텍(시흥),KR,Electrification,와이어링하네스,Wiring Harness,SL-ELE-45954,2023-02-15,2023-03-07,2023-04-04,2023-04-09,2023-04-20,기각,기능불량,Functional Failure,Minor,2,49.27,107.41
CLM-000045,GM,GM Fort Wayne Assembly,US,en,Design Flaw detected on Bumper Beam (SL-FEM-18564). Identified at GM Fort Wayne Assembly.,SL Alabama,US,Front End Module,범퍼빔,Bumper Beam,SL-FEM-18564,2024-07-17,2024-07-22,2025-03-31,2025-04-10,2025-04-16,기각,설계결함,Design Flaw,Minor,3,29.9,113.92
CLM-000046,Hyundai,현대자동차 아산공장,KR,ko,와이어링하네스(SL-ELE-78494) 부품에서 크랙·파손 발생. Hyundai 현대자동차 아산공장에서 확인됨.,SL 성서공장,KR,Electrification,와이어링하네스,Wiring Harness,SL-ELE-78494,2024-06-15,2024-07-02,2025-02-18,2025-02-23,2025-03-25,보상완료,크랙·파손,Crack & Breakage,Major,200,37.95,8349.0
CLM-000047,Ford,Ford Michigan Assembly,US,en,Functional Failure detected on Outside Mirror (SL-MIR-32782). Identified at Ford Michigan Assembly.,SL Tennessee,US,Mirror Systems,아웃사이드미러,Outside Mirror,SL-MIR-32782,2023-03-11,2023-03-14,2023-06-03,2023-06-10,2023-07-21,확정,기능불량,Functional Failure,Minor,8,21.63,162.66
CLM-000048,Kia,Kia Georgia Plant,US,en,Crack & Breakage detected on Wiring Harness (SL-ELE-65723). Identified at Kia Georgia Plant.,SL Alabama,US,Electrification,와이어링하네스,Wiring Harness,SL-ELE-65723,2022-11-08,2022-11-18,2023-08-24,2023-09-04,,조사중,크랙·파손,Crack & Breakage,Minor,3,13.21,34.87
CLM-000049,Kia,Kia India (Anantapur),IN,en,Other detected on Daytime Running Lamp (SL-LMP-49857). Identified at Kia India (Anantapur).,SL Mexico (SLP),MX,Lamp Systems,주간주행등,Daytime Running Lamp,SL-LMP-49857,2024-10-27,2024-11-15,2025-04-04,2025-04-13,2025-04-21,확정,기타,Other,Minor,1,82.81,96.89
CLM-000050,BMW,BMW Leipzig Plant,DE,de,Dimensional Out-of-Spec bei Actuator Motor (SL-ELE-32962) festgestellt. Erkannt bei BMW Leipzig Plant.,SL Poland,PL,Electrification,액추에이터모터,Actuator Motor,SL-ELE-32962,2024-11-11,2024-11-28,2025-08-21,2025-09-05,2025-10-15,확정,치수불량,Dimensional Out-of-Spec,Critical,500,46.64,29849.6
CLM-000051,GM,GM Fort Wayne Assembly,US,en,Functional Failure detected on Steering Knuckle (SL-CHS-74942). Identified at GM Fort Wayne Assembly.,SL Tennessee,US,Chassis Systems,너클,Steering Knuckle,SL-CHS-74942,2023-08-24,2023-09-08,2024-08-13,2024-08-27,2024-09-01,보상완료,기능불량,Functional Failure,Minor,2,22.38,42.97
CLM-000052,KGM,KGM 평택공장,KR,ko,파워윈도우스위치(SL-ELE-64165) 부품에서 기능불량 발생. KGM 평택공장에서 확인됨.,SL 진량공장,KR,Electrification,파워윈도우스위치,Power Window Switch,SL-ELE-64165,2022-12-27,2023-01-15,2023-04-22,2023-04-28,2023-06-01,기각,기능불량,Functional Failure,Minor,1,19.16,20.5
CLM-000053,Subaru,Subaru Gunma Oizumi Plant,JP,ja,Head Lamp（SL-LMP-92578）にDimensional Out-of-Specを検出。Subaru Gunma Oizumi Plantにて確認。,SL Poland,PL,Lamp Systems,전조등,Head Lamp,SL-LMP-92578,2023-04-29,2023-05-07,2024-05-05,2024-05-10,2024-06-17,확정,치수불량,Dimensional Out-of-Spec,Minor,2,39.61,96.65
CLM-000054,Hyundai,현대자동차 울산공장,KR,ko,스태빌라이저링크(SL-CHS-45838) 부품에서 치수불량 발생. Hyundai 현대자동차 울산공장에서 확인됨.,SL 천안공장,KR,Chassis Systems,스태빌라이저링크,Stabilizer Link,SL-CHS-45838,2024-08-07,2024-08-25,2025-04-30,2025-05-04,2025-05-16,확정,치수불량,Dimensional Out-of-Spec,Minor,5,42.42,222.71
CLM-000055,Honda,Honda Marysville Auto Plant,US,en,Functional Failure detected on Sensor Module (SL-ELE-10336). Identified at Honda Marysville Auto Plant.,SL Alabama,US,Electrification,센서모듈,Sensor Module,SL-ELE-10336,2023-07-15,2023-07-27,2024-08-02,2024-08-16,2024-09-30,확정,기능불량,Functional Failure,Minor,3,30.09,93.88
CLM-000056,Kia,Kia India (Anantapur),IN,en,Dimensional Out-of-Spec detected on Side Repeater Mirror (SL-MIR-60196). Identified at Kia India (Anantapur).,SL Lumax (India),IN,Mirror Systems,사이드리피터미러,Side Repeater Mirror,SL-MIR-60196,2023-03-06,2023-03-22,2024-04-23,2024-04-24,2024-05-27,확정,치수불량,Dimensional Out-of-Spec,Minor,20,69.42,1666.08
CLM-000057,BMW,BMW Munich Plant,DE,de,Dimensional Out-of-Spec bei Sensor Module (SL-ELE-23154) festgestellt. Erkannt bei BMW Munich Plant.,SL Poland,PL,Electrification,센서모듈,Sensor Module,SL-ELE-23154,2025-04-10,2025-04-29,2025-06-20,2025-07-05,2025-07-17,확정,치수불량,Dimensional Out-of-Spec,Critical,500,53.65,22533.0
CLM-000058,Stellantis,Stellantis Sterling Heights Assembly,US,en,Material Defect detected on Stabilizer Link (SL-CHS-79942). Identified at Stellantis Sterling Heights Assembly.,SL Tennessee,US,Chassis Systems,스태빌라이저링크,Stabilizer Link,SL-CHS-79942,2024-08-20,2024-09-07,2025-02-17,2025-03-03,2025-04-14,확정,소재불량,Material Defect,Minor,5,32.83,206.83
CLM-000059,KGM,KGM 평택공장,KR,ko,주간주행등(SL-LMP-31805) 부품에서 이물혼입 발생. KGM 평택공장에서 확인됨.,SL 미러텍(시흥),KR,Lamp Systems,주간주행등,Daytime Running Lamp,SL-LMP-31805,2024-08-17,2024-08-21,2024-09-05,2024-09-11,2024-10-02,보상완료,이물혼입,Foreign Material Contamination,Minor,12,52.99,585.01
CLM-000060,Kia,기아 광명공장,KR,ko,본넷래치(SL-FEM-75230) 부품에서 조립불량 발생. Kia 기아 광명공장에서 확인됨.,SL 성서공장,KR,Front End Module,본넷래치,Bonnet Latch,SL-FEM-75230,2023-06-07,2023-06-24,2023-10-21,2023-11-01,2023-11-20,확정,조립불량,Assembly Defect,Minor,50,32.33,1842.81
CLM-000061,Hyundai,HMGMA (Hyundai Motor Group Metaplant America),US,en,Dimensional Out-of-Spec detected on Horn (SL-FEM-69878). Identified at HMGMA (Hyundai Motor Group Metaplant America).,SL 옌타이,CN,Front End Module,혼,Horn,SL-FEM-69878,2024-05-16,2024-05-31,2024-09-10,2024-09-24,2024-10-12,확정,치수불량,Dimensional Out-of-Spec,Major,200,17.69,3361.1
CLM-000062,Ford,Ford Kentucky Truck Plant,US,en,Surface & Plating Defect detected on Lower Control Arm (SL-CHS-84177). Identified at Ford Kentucky Truck Plant.,호북삼립,CN,Chassis Systems,로어암,Lower Control Arm,SL-CHS-84177,2022-05-17,2022-06-04,2023-04-11,2023-04-25,2023-05-16,보상완료,표면·도금불량,Surface & Plating Defect,Major,200,38.46,6999.72
CLM-000063,Hyundai,HMMA (Hyundai Motor Manufacturing Alabama),US,en,Crack & Breakage detected on Fog Lamp (SL-LMP-67779). Identified at HMMA (Hyundai Motor Manufacturing Alabama).,SL Tennessee,US,Lamp Systems,안개등,Fog Lamp,SL-LMP-67779,2022-05-03,2022-05-17,2023-03-10,2023-03-22,,조사중,크랙·파손,Crack & Breakage,Minor,12,73.59,785.94
CLM-000064,Hyundai,Beijing Hyundai Motor (BHMC),CN,zh,在Sensor Module（SL-ELE-31567）上发现Functional Failure。由Beijing Hyundai Motor (BHMC)确认。,상해삼립,CN,Electrification,센서모듈,Sensor Module,SL-ELE-31567,2023-09-25,2023-10-07,2024-06-10,2024-06-22,2024-07-02,보상완료,기능불량,Functional Failure,Minor,2,16.33,41.8
CLM-000065,Honda,Honda Suzuka Factory,JP,ja,Daytime Running Lamp（SL-LMP-11824）にOtherを検出。Honda Suzuka Factoryにて確認。,상해삼립,CN,Lamp Systems,주간주행등,Daytime Running Lamp,SL-LMP-11824,2023-09-18,2023-09-24,2024-06-25,2024-07-03,2024-07-22,확정,기타,Other,Minor,20,78.46,1992.88
CLM-000066,Hyundai,현대자동차 아산공장,KR,ko,사이드리피터미러(SL-MIR-18285) 부품에서 조립불량 발생. Hyundai 현대자동차 아산공장에서 확인됨.,SL 성서공장,KR,Mirror Systems,사이드리피터미러,Side Repeater Mirror,SL-MIR-18285,2024-08-02,2024-08-14,2025-08-08,2025-08-19,2025-08-30,확정,조립불량,Assembly Defect,Minor,1,35.22,36.98
CLM-000067,Hyundai,Beijing Hyundai Motor (BHMC),CN,zh,在Power Window Switch（SL-ELE-86983）上发现Crack & Breakage。由Beijing Hyundai Motor (BHMC)确认。,동풍삼립(우한),CN,Electrification,파워윈도우스위치,Power Window Switch,SL-ELE-86983,2023-04-08,2023-04-14,2023-11-13,2023-11-27,2023-12-26,확정,크랙·파손,Crack & Breakage,Minor,1,41.06,37.36
CLM-000068,GM,GM Korea 창원공장,KR,ko,스태빌라이저링크(SL-CHS-94518) 부품에서 기능불량 발생. GM Korea 창원공장에서 확인됨.,SL 천안공장,KR,Chassis Systems,스태빌라이저링크,Stabilizer Link,SL-CHS-94518,2024-11-18,2024-12-03,2025-01-04,2025-01-09,2025-01-19,확정,기능불량,Functional Failure,Minor,2,33.87,75.87
CLM-000069,BMW,BMW Leipzig Plant,DE,de,Foreign Material Contamination bei Side Repeater Mirror (SL-MIR-36896) festgestellt. Erkannt bei BMW Leipzig Plant.,SL 대구공장,KR,Mirror Systems,사이드리피터미러,Side Repeater Mirror,SL-MIR-36896,2022-04-04,2022-04-24,2023-05-21,2023-05-25,2023-06-11,확정,이물혼입,Foreign Material Contamination,Minor,3,59.43,196.12
CLM-000070,Kia,기아 광명공장,KR,ko,아웃사이드미러(SL-MIR-96646) 부품에서 기타 발생. Kia 기아 광명공장에서 확인됨.,북경삼립,CN,Mirror Systems,아웃사이드미러,Outside Mirror,SL-MIR-96646,2022-12-13,2022-12-16,2023-02-22,2023-02-28,2023-03-18,보상완료,기타,Other,Minor,12,20.79,232.02
CLM-000071,Hyundai,HMGMA (Hyundai Motor Group Metaplant America),US,en,Wiring & Electrical Defect detected on Horn (SL-FEM-77271). Identified at HMGMA (Hyundai Motor Group Metaplant America).,SL Alabama,US,Front End Module,혼,Horn,SL-FEM-77271,2022-12-04,2022-12-23,2023-08-12,2023-08-16,2023-08-21,보상완료,배선·전장불량,Wiring & Electrical Defect,Minor,8,20.37,208.59
